star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
HD92788,HARPSS,5762.0,25.0,4.31,0.29,0.02,1.06,0.04649286956521739,HD92788_HARPSS_115000_378_691_2020_rv.fits
HD221585,SOPHIEHR,5638.0,30.0,4.05,0.29,0.02,1.06,0.0721080947739499,HD221585_SOPHIE_HR_2020_rv.fits
HD208527,UVES,4118.0,25.0,1.83,0.08,0.03,2.44,0.053923825056262115,HD208527_UVES_2017_rv.fits
HATS-14,FEROS,5615.0,103.0,4.37,0.35,0.07,1.62,0.13275802082984087,HATS-14_FEROS_48000_352_921_2020_rv.fits
HATS-1,UVES,5930.0,30.0,4.46,-0.02,0.02,0.94,0.05392272442427379,HATS-1_UVES_107200_472_683_2020_rv.fits
Qatar-6,UVES,5930.0,30.0,4.46,-0.02,0.02,0.94,0.05392225548611022,Qatar-6_UVES_107200_472_683_2020_rv.fits
Kepler-1655,SOPHIEHR,6112.0,78.0,4.45,-0.14,0.06,0.91,0.07211282094096105,Kepler-1655_SOPHIE_HR_2020_rv.fits
HD156411,HARPSS,5918.0,19.0,4.01,-0.1,0.01,1.4,0.04650239130434782,HD156411_HARPSS_115000_378_691_2020_rv.fits
91Aqr,HARPSS,4673.0,52.0,2.4,0.01,0.03,1.46,0.04649317391304348,91Aqr_HARPSS_115000_378_691_2020_rv.fits
HIP109600,SOPHIEHR,5503.0,24.0,4.32,-0.17,0.02,0.53,0.07212244167514907,HIP109600_SOPHIE_HR_2020_rv.fits
HD220842,SOPHIEHR,5960.0,20.0,4.24,-0.17,0.02,0,0.07211501005139799,HD220842_SOPHIE_HR_2020_rv.fits
HD5583,HARPSN,4900.0,25.0,2.65,-0.42,0.02,1.6,0.04688682019820759,HD5583_HARPSN_2020_rv.fits
HD215152,HARPSS,4830.0,78.0,4.29,-0.09,0.04,0.61,0.046493,HD215152_HARPSS_115000_378_691_2020_rv.fits
NGTS-10,FEROS,4715.0,127.0,4.26,-0.09,0.07,0.78,0.13274614582984087,NGTS-10_FEROS_48000_352_921_2020_rv.fits
WASP-145A,UVES,4748.0,84.0,4.22,-0.39,0.04,0.73,0.05392224570374663,WASP-145A_UVES_107200_472_683_2020_rv.fits
HATS-13,FEROS,5485.0,95.0,4.51,0.14,0.07,0.79,0.13276458332984087,HATS-13_FEROS_48000_352_921_2020_rv.fits
HD9446,SOPHIEHR,5775.0,43.0,4.46,0.03,0.03,0.83,0.07209985628569215,HD9446_SOPHIE_HR_2020_rv.fits
K2-229,HARPSS,5125.0,38.0,4.34,-0.09,0.02,0.79,0.04650273913043479,K2-229_HARPSS_115000_378_691_2020_rv.fits
KOI3680,SOPHIE,5830.0,100.0,4.47,0.16,0.07,1.20,0.07212376237329615,KOI3680_SOPHIE_2018_rv.fits
WASP-156,HARPSS,4875.0,79.0,4.13,0.15,0.04,0.57,0.04649778260869565,WASP-156_HARPSS_115000_378_691_2020_rv.fits
BD+631405,SOPHIE,5000.0,53.0,4.2,-0.09,0.03,0.43,0.07210586666666666,BD+631405_SOPHIE_2020_rv.fits
TOI1296,SOPHIEHR,5603.0,47.0,4.05,0.044,0.04,1.22,0.0721002398597182,TOI1296_rv_rv.fits
TYC4282-605-1,HARPSN,4558.0,99.0,2.61,0.07,0.05,1.49,0.04688835577211308,TYC4282-605-1_HARPSN_2020_rv.fits
omiCrB,NARVAL,4843.0,37.0,2.49,-0.21,0.03,1.52,0.10911961538461538,omiCrB_NARVAL_2014_rv.fits
WASP-124,FEROS,6181.0,62.0,4.49,0.28,0.05,1.18,0.13276395832984086,WASP-124_FEROS_48000_352_921_2020_rv.fits
HATS-33,UVES,5718.0,66.0,4.37,0.33,0.05,1.11,0.0539222334482329,HATS-33_UVES_107200_472_683_2020_rv.fits
K2-27,HARPSS,5242.0,25.0,4.29,0.13,0.02,0.7,0.04649413043478261,K2-27_HARPSS_115000_378_691_2020_rv.fits
HIP74890,UVES,4800.0,78.0,3.11,0.2,0.05,1.14,0.05392356849872736,HIP74890_UVES_107200_472_683_2020_rv.fits
HD190984,HARPSS,6014.0,20.0,4.03,-0.46,0.01,1.54,0.04649395652173913,HD190984_HARPSS_115000_378_691_2020_rv.fits
K2-140,FEROS,5955.0,101.0,4.58,0.5,0.07,1.41,0.13274333332984087,K2-140_FEROS_48000_352_921_2020_rv.fits
K2-285,HARPSN,5047.0,36.0,4.34,-0.05,0.02,0.68,0.04688204509252758,K2-285_HARPSN_2020_rv.fits
muAra,HARPSS,5797.0,26.0,4.26,0.3,0.02,1.13,0.04650047826086957,muAra_HARPSS_115000_378_691_2020_rv.fits
HD128311,SOPHIEHR,4896.0,58.0,4.26,-0.03,0.03,0.81,0.07210658743131527,HD128311_SOPHIE_HR_2020_rv.fits
piMen,HARPSS,6010.0,15.0,4.46,0.1,0.01,1.14,0.046497913043478264,piMen_HARPSS_115000_378_691_2020_rv.fits
