star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
HD10647,HARPS,6178.0,20,4.49,-0.01,0.01,1.26,0.055,HD10647_HARPSS_115000_378_691_2020_rv.fits
HD11231,HARPS,6643.0,35,4.32,0.19,0.02,1.96,0.055,HD11231_HARPSS_115000_378_691_2020_rv.fits
HD115954,SOPHIE,5957.0,26,4.15,0.34,0.02,1.15,0.072,HD115954_SOPHIE_2017_rv.fits
HD12484,SOPHIE_HR,5115.0,30,4.54,0.09,0.02,1.19,0.072,HD12484_SOPHIE_HR_2020_rv.fits
HD133131B,UVES,5751.0,26,4.37,-0.28,0.02,0.90,0.087,HD133131B_UVES_74450_472_683_2020_rv.fits
HD13908,ESPADONS,6241.0,24,4.16,0.00,0.02,1.52,0.097,HD13908_ESPADONS_65000_2020_rv.fits
HD143105,SOPHIE_HR,6381.0,37,4.41,0.17,0.03,1.53,0.072,HD143105_SOPHIE_HR_2020_rv.fits
HD147873,HARPS,6180.0,27,4.06,0.26,0.02,1.65,0.055,HD147873_HARPSS_115000_378_691_2020_rv.fits
HD1666,HARPS,6508.0,30,4.29,0.39,0.02,1.77,0.055,HD1666_HARPSS_115000_378_691_2020_rv.fits
HD196885A,SOPHIE_HR,6312.0,26,4.43,0.25,0.02,1.42,0.072,HD196885A_SOPHIE_HR_2020_rv.fits
HD19994A,HARPS,6249.0,27,4.26,0.27,0.02,1.57,0.055,HD19994A_HARPSS_115000_378_691_2020_rv.fits
HD205739,HARPS,6273.0,22,4.37,0.19,0.02,1.42,0.055,HD205739_HARPSS_115000_378_691_2020_rv.fits
HD208487,HARPS,6137.0,18,4.46,0.09,0.01,1.21,0.055,HD208487_HARPSS_115000_378_691_2020_rv.fits
HD27969,SOPHIE,5966.0,21,4.12,0.18,0.02,1.17,0.072,HD27969_SOPHIE_2017_rv.fits
HD286123,HARPS,5961,18,4.33,0.07,0.01,1.19,0.055,HD286123_HARPSN_2020_rv.fits
HD50499,HARPS,6066.0,23,4.27,0.33,0.02,1.31,0.055,HD50499_HARPSS_115000_378_691_2020_rv.fits
HD60532,HARPS,6281.0,34,4.00,-0.07,0.02,1.80,0.055,HD60532_HARPSS_115000_378_691_2020_rv.fits
HD63433,SOPHIE_HR,5671.0,26,4.49,0.00,0.02,1.11,0.072,HD63433_SOPHIE_HR_2020_rv.fits
HD66141,UVES,4357,67,1.99,-0.33,0.03,1.53,0.087,HD66141_UVES_42310_472_683_2020_rv.fits
HD70573,FEROS,5904.0,46,4.48,0.00,0.04,1.72,0.130,HD70573_FEROS_48000_352_921_2020_rv.fits
HD87646A,UVES,5949.0,38,4.28,0.28,0.03,1.43,0.061,HD87646A_UVES_107200_472_683_2020_rv.fits	
HD93963A,SOPHIE,5987.0,64,4.49,0.10,0.04,1.15,0.072,HD93963A_SOPHIE_2021_rv.fits
HR858,HARPS,6360.0,26,4.50,-0.02,0.02,1.51,0.055,HR858_HARPSS_115000_378_691_2020_rv.fits
K2-100,HARPS,6377.0,65,4.81,0.32,0.05,2.05,0.055,K2-100_HARPSN_2020_rv.fits
K2-290,HRPS,6385.0,23,4.44,0.04,0.02,1.58,0.055,K2-290_HARPSS_115000_378_691_2020_rv.fits
KELT-16,UVES,6514.0,54,4.45,0.09,0.04,1.46,0.061,KELT-16_UVES_107200_472_683_2020_rv.fits	
KELT-4A,UVES,6478.0,34,4.34,0.00,0.02,1.67,0.061,KELT-4A_UVES_107200_472_683_2020_rv.fits	
KELT-6,HARPS,6325.0,26,4.30,-0.23,0.02,1.65,0.055,KELT-6_HARPSN_2020_rv.fits
Kepler-21,NARVAL,6323.0,43,4.21,0.05,0.03,1.45,0.110,Kepler-21_NARVAL_2014_rv.fits
Kepler-39,SOPHIE_HE,6556,85,4.78,0.06,0.06,1.55,0.135,Kepler-39_SOPHIE_HE_2020_rv.fits
Kepler-40,SOPHIE_HE,6296.0,104,4.48,0.01,0.07,1.04,0.135,Kepler-40_SOPHIE_HE_2020_rv.fits
Kepler-410A,NARVAL,6440.0,73,4.57,0.11,0.05,1.87,0.110,Kepler-410A_NARVAL_2014_rv.fits
Kepler-41,SOPHIE_HE,5766.0,118,4.32,0.21,0.09,0.47,0.135,Kepler-41_SOPHIE_HE_2020_rv.fits
Kepler-420A,HARPS,5528.0,54,4.10,0.22,0.04,1.01,0.55,54Kepler-420A_HARPSN_2016_rv.fits
Kepler-435,SOPHIE_HE,6388.0,45,4.23,0.06,0.03,1.47,0.135,Kepler-435_SOPHIE_HE_2020_rv.fits
Kepler-539,SOPHIE_HE,5841.0,44,4.52,-0.02,0.03,0.81,0.135,Kepler-539_SOPHIE_HE_2020_rv.fits
